Data da Carga da Base;ExercÌcio_Financeiro (Lan-Ef);aÁ„o (cÛdigo);AÁ„o (nome);Plano OrÁament·rio (cÛdigo);Plano OrÁament·rio (nome);Grupo de Despesa ;Grupo de Despesa (nome);Resultado Lei (c√≥digo);Resultado Lei (nome);Modalidade de Aplica√ß√£o (c√≥digo);Modalidade de Aplica√ß√£o (nome);Fonte (c√≥digo);Fonte (nome);Valor dota√ß√£o inicial;Valor dota√ß√£o atualizada;Valor Total Empenhado;Valor Liquidado;Valor Pago
26/06/2025;2025;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR;1;ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO;3;OUTRAS DESPESAS CORRENTES;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;276985616;276985616;209920251,2;183790273;183265693,9
26/06/2025;2025;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR;1;ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO;3;OUTRAS DESPESAS CORRENTES;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;4;RETORNO DO FUNDO SOCIAL;4781624;4781624;0;0;0
26/06/2025;2025;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR;1;ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO;4;INVESTIMENTOS;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;220000;220000;0;0;0
26/06/2025;2025;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR;2;EXAMES PERIODICOS - CIVIS;3;OUTRAS DESPESAS CORRENTES;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;396014;396014;62314,43;57629,11;57629,11
26/06/2025;2025;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR;80;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES - RESERVA;3;OUTRAS DESPESAS CORRENTES;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;45938978;45938978;0;0;0
26/06/2025;2025;20TP;ATIVOS CIVIS DA UNIAO; -; -;1;PESSOAL E ENCARGOS SOCIAIS;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;1919889559;1847365419;1847365419;953071283,9;898884394,1
26/06/2025;2025;20TP;ATIVOS CIVIS DA UNIAO; -; -;1;PESSOAL E ENCARGOS SOCIAIS;1;PRIMARIO OBRIGATORIO;91;APLICACOES DIRETAS - OPERACOES INTERNAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;173043503,9;173043503,9;124235294,2;60175654,12;50056791,97
26/06/2025;2025;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;1;ASSISTENCIA PRE-ESCOLAR AOS DEPENDENTES DE SERVIDORES CIVIS E DE EMPREGADOS;3;OUTRAS DESPESAS CORRENTES;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;14895697;14895697;13261615,26;6890852,36;6890852,36
26/06/2025;2025;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;3;AUXILIO-TRANSPORTE DE CIVIS ATIVOS;3;OUTRAS DESPESAS CORRENTES;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;406020;406020;406020;168834,73;168834,73
26/06/2025;2025;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;5;AUXILIO-ALIMENTACAO DE CIVIS ATIVOS;3;OUTRAS DESPESAS CORRENTES;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;106614455;131034715;101854614,2;60496838,57;60496838,57
26/06/2025;2025;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;9;AUXILIO-FUNERAL E NATALIDADE DE CIVIS;3;OUTRAS DESPESAS CORRENTES;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;4391943;263248;77783;13293,73;13293,73
26/06/2025;2025;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;1009;AUXILIO-FUNERAL E NATALIDADE DE CIVIS - INATIVOS;3;OUTRAS DESPESAS CORRENTES;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;0;4128695;3397706;1592751,62;1592751,62
26/06/2025;2025;216H;AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUB; -; -;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;1716000;1716000;324336,03;304433,91;304433,91
26/06/2025;2025;219I;PUBLICIDADE INSTITUCIONAL E DE UTILIDADE PUBLICA; -; -;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;50000000;50000000;0;0;0
26/06/2025;2025;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA; -; -;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;6083152;6083152;0;0;0
26/06/2025;2025;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;1;ADMINISTRACAO LEGISLATIVA;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;392297300,1;391727200,1;345187991,2;121197864,3;114291014,9
26/06/2025;2025;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;1;ADMINISTRACAO LEGISLATIVA;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;50;REC.PROPRIOS PRIMARIOS DE LIVRE APLICACAO;0;1000000;410;410;410
26/06/2025;2025;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;1;ADMINISTRACAO LEGISLATIVA;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;91;APLICACOES DIRETAS - OPERACOES INTERNAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;500017,9;500017,9;321727,24;49533,61;48711,14
26/06/2025;2025;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;1;ADMINISTRACAO LEGISLATIVA;4;INVESTIMENTOS;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;4811996;12018121;118652,5;101402,5;101402,5
26/06/2025;2025;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;1;ADMINISTRACAO LEGISLATIVA;4;INVESTIMENTOS;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;50;REC.PROPRIOS PRIMARIOS DE LIVRE APLICACAO;14412823;4640410;3035912,98;1414606,26;1395518,05
26/06/2025;2025;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;4;GESTAO DO SISTEMA DE INFORMATICA;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;70448221,82;70448221,82;42523046,8;22646870,37;22294942,24
26/06/2025;2025;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;4;GESTAO DO SISTEMA DE INFORMATICA;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;91;APLICACOES DIRETAS - OPERACOES INTERNAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;69,18;69,18;69,18;69,18;69,18
26/06/2025;2025;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;4;GESTAO DO SISTEMA DE INFORMATICA;4;INVESTIMENTOS;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;75125015;72904885;9293510,62;3887049,87;2395143,54
26/06/2025;2025;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;4;GESTAO DO SISTEMA DE INFORMATICA;4;INVESTIMENTOS;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;50;REC.PROPRIOS PRIMARIOS DE LIVRE APLICACAO;0;2220130;1680140,12;719578,58;719578,58
26/06/2025;2025;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;6;PRODUCAO E DISTRIBUICAO DE DOCUMENTOS LEGISLATIVOS;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;26017270;26017270;20531750,87;7236505,37;6929239,96
26/06/2025;2025;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;6;PRODUCAO E DISTRIBUICAO DE DOCUMENTOS LEGISLATIVOS;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;50;REC.PROPRIOS PRIMARIOS DE LIVRE APLICACAO;3525397;2525397;22671,76;2471,48;2471,48
26/06/2025;2025;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;6;PRODUCAO E DISTRIBUICAO DE DOCUMENTOS LEGISLATIVOS;4;INVESTIMENTOS;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;5061112;6384333;0;0;0
26/06/2025;2025;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;6;PRODUCAO E DISTRIBUICAO DE DOCUMENTOS LEGISLATIVOS;4;INVESTIMENTOS;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;50;REC.PROPRIOS PRIMARIOS DE LIVRE APLICACAO;0;757900;732200;732200;719083,6
26/06/2025;2025;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;000C;DISSEMINACAO DE CONHECIMENTOS LEGISLATIVOS E GERENCIAIS;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;8345032;8345032;2365328,42;678764,86;654998,35
26/06/2025;2025;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;000E;FUNCIONAMENTO DA INSTITUICAO FISCAL INDEPENDENTE (IFI);3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;80;TRANSFERENCIAS AO EXTERIOR;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;2461384;2461384;0;0;0
26/06/2025;2025;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;000F;COMUNICACAO E DIVULGACAO INSTITUCIONAL;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;87179586,04;87749686,04;73091613,33;25159148,13;24689225,23
26/06/2025;2025;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;000F;COMUNICACAO E DIVULGACAO INSTITUCIONAL;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;91;APLICACOES DIRETAS - OPERACOES INTERNAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;988495,96;988495,96;640613,96;221412,39;221412,39
26/06/2025;2025;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;000F;COMUNICACAO E DIVULGACAO INSTITUCIONAL;4;INVESTIMENTOS;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;33190300;26881084;963696,91;2590;2590
26/06/2025;2025;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;000F;COMUNICACAO E DIVULGACAO INSTITUCIONAL;4;INVESTIMENTOS;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;50;REC.PROPRIOS PRIMARIOS DE LIVRE APLICACAO;0;6309216;3997035;351000;351000
26/06/2025;2025;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;000G;MANUTENCAO, REFORMA, MODERNIZACAO E ADEQUACAO DO COMPLEXO ARQUITETONICO;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;77334875;77334875;55147485,42;13426553,02;12853522,34
26/06/2025;2025;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;000G;MANUTENCAO, REFORMA, MODERNIZACAO E ADEQUACAO DO COMPLEXO ARQUITETONICO;4;INVESTIMENTOS;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;36574963;36574963;4003590,64;128069,72;121781,71
26/06/2025;2025;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;000G;MANUTENCAO, REFORMA, MODERNIZACAO E ADEQUACAO DO COMPLEXO ARQUITETONICO;4;INVESTIMENTOS;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;50;REC.PROPRIOS PRIMARIOS DE LIVRE APLICACAO;0;485167;356296,16;69917,3;69983,12
26/06/2025;2025;4236;APRECIACAO E JULGAMENTO DE CAUSAS;1;JULGAMENTO DE PROCESSOS;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;272250,14;272250,14;272250,14;272250,14;272250,14
26/06/2025;2024;00PW;CONTRIBUICOES REGULARES A ENTIDADES OU ORGANISMOS NACIONAIS;1;CONTRIBUICAO A ASSOCIACAO BRASILEIRA DAS ESCOLAS DO LEGISLATIVO E DE CONTAS - ABEL;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;50;TRANSFERENCIA INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;10800;10800;9000;9000;9000
26/06/2025;2024;00PW;CONTRIBUICOES REGULARES A ENTIDADES OU ORGANISMOS NACIONAIS;2;CONTRIBUICAO A UNIAO NACIONAL DAS INSTITUICOES DE AUTOGESTAO EM SAUDE - UNIDAS;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;50;TRANSFERENCIA INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;58913;58913;0;0;0
26/06/2025;2024;00PW;CONTRIBUICOES REGULARES A ENTIDADES OU ORGANISMOS NACIONAIS;3;CONTRIBUICAO A ASSOCIACAO BRASILEIRA DE TELEVISOES E RADIOS LEGISLATIVAS - ASTRAL;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;50;TRANSFERENCIA INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;16800;16800;14000;14000;14000
26/06/2025;2024;00PW;CONTRIBUICOES REGULARES A ENTIDADES OU ORGANISMOS NACIONAIS;4;CONTRIBUICAO AO INSTITUTO BRASILEIRO DE GOVERNANCA CORPORATIVA - IBGC;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;50;TRANSFERENCIA INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;7095;7095;6503;6503;6503
26/06/2025;2024;00S6;BENEFICIO ESPECIAL - LEI N. 12.618, DE 2012;1;BENEFICIO ESPECIAL;1;PESSOAL E ENCARGOS SOCIAIS;1;PRIMARIO OBRIGATORIO;90;APLICACOES DIRETAS;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;30689449;63715656;61885569,08;61885569,08;61885569,08
26/06/2025;2024;00UT;CONTRIBUICOES REGULARES A ORGANISMOS DE DIREITO INTERNACIONA;2;CONTRIBUICAO AO PARLAMENTO LATINO-AMERICANO;3;OUTRAS DESPESAS CORRENTES;1;PRIMARIO OBRIGATORIO;80;TRANSFERENCIAS AO EXTERIOR;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;227367;227367;197934,95;197934,95;197934,95
26/06/2025;2024;00UT;CONTRIBUICOES REGULARES A ORGANISMOS DE DIREITO INTERNACIONA;3;CONTRIBUICAO A UNIAO INTERPARLAMENTAR;3;OUTRAS DESPESAS CORRENTES;1;PRIMARIO OBRIGATORIO;80;TRANSFERENCIAS AO EXTERIOR;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;1033643;1033643;922602,68;922602,68;922602,68
26/06/2025;2024;00UU;CONTRIBUICOES REGULARES A ORGANISMOS INTERNACIONAIS DE DIREI;1;CONTRIBUICAO AO PARLAMERICAS;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;80;TRANSFERENCIAS AO EXTERIOR;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;130402;130402;113367,76;113367,76;113367,76
26/06/2025;2024;00UU;CONTRIBUICOES REGULARES A ORGANISMOS INTERNACIONAIS DE DIREI;2;CONTRIBUICAO A FEDERACAO INTERNACIONAL DAS ASSOCIACOES E INSTITUICOES BIBLIOTECARIAS - IFLA;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;80;TRANSFERENCIAS AO EXTERIOR;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;4431;4431;4188,13;4188,13;4188,13
26/06/2025;2024;00UU;CONTRIBUICOES REGULARES A ORGANISMOS INTERNACIONAIS DE DIREI;3;CONTRIBUICAO A ASSOCIACAO DOS SECRETARIOS-GERAIS DO PARLAMENTO - ASPG;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;80;TRANSFERENCIAS AO EXTERIOR;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;6398;6398;5449,05;5449,05;5449,05
26/06/2025;2024;00UU;CONTRIBUICOES REGULARES A ORGANISMOS INTERNACIONAIS DE DIREI;5;CONTRIBUICAO AO CONSELHO INTERNACIONAL DE ARQUIVOS - ICA;3;OUTRAS DESPESAS CORRENTES;2;PRIMARIO DISCRICIONARIO;80;TRANSFERENCIAS AO EXTERIOR;0;RECURSOS PRIMARIOS DE LIVRE APLICACAO;1971;1971;1898,04;1898,04;1898,04
